,,,,final_accuracy,final_accuracy,accuracy_change,accuracy_change,parameter_reduction_pct,parameter_reduction_pct,mac_reduction_pct,mac_reduction_pct,speedup,speedup
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,architecture,method,target_prune_rate,,,,,,,,,,
CIFAR100,SimpleCNN,Adaptive-Correlation,0.5,55.9,,4.86,,48.381,,61.606,,0.979,
CIFAR100,SimpleCNN,Adaptive-Magnitude,0.1,57.6,,6.56,,9.888,,14.05,,0.924,
CIFAR100,SimpleCNN,Adaptive-Magnitude,0.2,56.98,,5.94,,19.963,,27.875,,0.934,
CIFAR100,SimpleCNN,Adaptive-Magnitude,0.3,57.12,,6.08,,29.448,,40.36,,0.998,
CIFAR100,SimpleCNN,Adaptive-Magnitude,0.4,56.11,,5.07,,39.388,,51.435,,0.888,
CIFAR100,SimpleCNN,Adaptive-Magnitude,0.5,55.86,,4.82,,48.381,,61.606,,0.931,
CIFAR100,SimpleCNN,E-HRAP,0.1,57.21,,6.17,,9.783,,13.385,,0.97,
CIFAR100,SimpleCNN,E-HRAP,0.2,57.28,,6.24,,19.504,,27.095,,0.79,
CIFAR100,SimpleCNN,E-HRAP,0.3,56.55,,5.51,,29.806,,40.507,,0.982,
CIFAR100,SimpleCNN,E-HRAP,0.4,55.85,,4.81,,39.388,,51.435,,1.007,
CIFAR100,SimpleCNN,E-HRAP,0.5,54.96,,3.92,,48.381,,61.606,,0.972,
CIFAR100,SimpleCNN,Uniform-Magnitude,0.1,57.55,,6.51,,10.792,,17.241,,0.946,
CIFAR100,SimpleCNN,Uniform-Magnitude,0.2,56.85,,5.81,,21.772,,33.59,,0.947,
CIFAR100,SimpleCNN,Uniform-Magnitude,0.3,56.55,,5.51,,32.13,,48.562,,1.013,
CIFAR100,SimpleCNN,Uniform-Magnitude,0.4,55.79,,4.75,,42.516,,61.264,,0.902,
CIFAR100,SimpleCNN,Uniform-Magnitude,0.5,55.36,,4.32,,52.629,,72.588,,1.009,
CIFAR100,VGG11BN,Adaptive-Correlation,0.1,63.01,,6.48,,18.166,,17.366,,0.911,
CIFAR100,VGG11BN,Adaptive-Correlation,0.2,62.48,,5.95,,34.693,,33.466,,0.904,
CIFAR100,VGG11BN,Adaptive-Correlation,0.3,62.56,,6.03,,49.341,,47.647,,0.911,
CIFAR100,VGG11BN,Adaptive-Correlation,0.4,61.74,,5.21,,62.152,,60.09,,0.73,
CIFAR100,VGG11BN,Adaptive-Correlation,0.5,61.33,,4.8,,73.002,,70.902,,0.956,
CIFAR100,VGG11BN,Adaptive-Magnitude,0.1,62.96,,6.43,,18.166,,17.366,,0.897,
CIFAR100,VGG11BN,Adaptive-Magnitude,0.2,63.02,,6.49,,34.693,,33.466,,0.897,
CIFAR100,VGG11BN,Adaptive-Magnitude,0.3,62.52,,5.99,,49.438,,47.768,,0.906,
CIFAR100,VGG11BN,Adaptive-Magnitude,0.4,62.25,,5.72,,62.099,,60.192,,0.909,
CIFAR100,VGG11BN,Adaptive-Magnitude,0.5,62.22,,5.69,,73.079,,71.015,,0.984,
CIFAR100,VGG11BN,E-HRAP,0.1,62.75,,6.22,,18.166,,17.366,,0.871,
CIFAR100,VGG11BN,E-HRAP,0.2,62.87,,6.34,,34.784,,33.418,,0.876,
CIFAR100,VGG11BN,E-HRAP,0.3,62.37,,5.84,,49.322,,47.552,,0.921,
CIFAR100,VGG11BN,E-HRAP,0.4,62.13,,5.6,,62.145,,60.237,,0.92,
CIFAR100,VGG11BN,E-HRAP,0.5,62.25,,5.72,,73.021,,70.863,,0.944,
CIFAR100,VGG11BN,Uniform-Magnitude,0.1,63.11,,6.58,,18.797,,18.49,,0.868,
CIFAR100,VGG11BN,Uniform-Magnitude,0.2,63.49,,6.96,,35.754,,35.478,,0.871,
CIFAR100,VGG11BN,Uniform-Magnitude,0.3,62.79,,6.26,,50.657,,50.431,,0.921,
CIFAR100,VGG11BN,Uniform-Magnitude,0.4,62.08,,5.55,,63.657,,63.46,,0.715,
CIFAR100,VGG11BN,Uniform-Magnitude,0.5,61.33,,4.8,,74.842,,74.702,,0.992,
FashionMNIST,ResNet20,Adaptive-Correlation,0.1,92.27,,0.26,,8.856,,7.824,,0.907,
FashionMNIST,ResNet20,Adaptive-Correlation,0.2,92.72,,0.71,,18.032,,16.741,,0.958,
FashionMNIST,ResNet20,Adaptive-Correlation,0.3,92.23,,0.22,,27.153,,25.429,,0.924,
FashionMNIST,ResNet20,Adaptive-Correlation,0.4,92.61,,0.6,,36.859,,34.846,,1.006,
FashionMNIST,ResNet20,Adaptive-Correlation,0.5,92.53,,0.52,,46.406,,43.853,,0.947,
FashionMNIST,ResNet20,Adaptive-Magnitude,0.1,92.63,,0.62,,8.697,,7.551,,0.931,
FashionMNIST,ResNet20,Adaptive-Magnitude,0.2,92.61,,0.6,,17.925,,16.013,,0.952,
FashionMNIST,ResNet20,Adaptive-Magnitude,0.3,92.65,,0.64,,27.684,,25.93,,0.923,
FashionMNIST,ResNet20,Adaptive-Magnitude,0.4,92.71,,0.7,,36.806,,34.755,,0.98,
FashionMNIST,ResNet20,Adaptive-Magnitude,0.5,92.63,,0.62,,45.822,,43.398,,0.949,
FashionMNIST,ResNet20,E-HRAP,0.1,92.67,,0.66,,8.697,,7.551,,0.878,
FashionMNIST,ResNet20,E-HRAP,0.2,92.73,,0.72,,17.872,,16.468,,0.959,
FashionMNIST,ResNet20,E-HRAP,0.3,92.42,,0.41,,27.631,,25.839,,0.929,
FashionMNIST,ResNet20,E-HRAP,0.4,92.99,,0.98,,36.701,,34.982,,0.956,
FashionMNIST,ResNet20,E-HRAP,0.5,92.43,,0.42,,46.194,,44.444,,0.944,
FashionMNIST,ResNet20,Uniform-Magnitude,0.1,92.35,,0.34,,9.069,,8.188,,0.93,
FashionMNIST,ResNet20,Uniform-Magnitude,0.2,92.84,,0.83,,18.457,,18.56,,0.941,
FashionMNIST,ResNet20,Uniform-Magnitude,0.3,92.72,,0.71,,28.692,,27.249,,0.925,
FashionMNIST,ResNet20,Uniform-Magnitude,0.4,92.4,,0.39,,38.081,,37.621,,0.962,
FashionMNIST,ResNet20,Uniform-Magnitude,0.5,92.34,,0.33,,49.219,,49.494,,0.999,
FashionMNIST,SimpleCNN,Adaptive-Correlation,0.1,93.45,,0.44,,10.449,,14.57,,0.764,
FashionMNIST,SimpleCNN,Adaptive-Correlation,0.2,93.34,,0.33,,20.672,,28.045,,0.76,
FashionMNIST,SimpleCNN,Adaptive-Correlation,0.3,93.1,,0.09,,28.16,,40.976,,0.769,
FashionMNIST,SimpleCNN,Adaptive-Correlation,0.4,92.92,,-0.09,,40.494,,52.673,,0.777,
FashionMNIST,SimpleCNN,Adaptive-Correlation,0.5,92.77,,-0.24,,50.451,,63.336,,0.742,
FashionMNIST,SimpleCNN,Adaptive-Magnitude,0.1,93.14,,0.13,,10.012,,14.388,,0.712,
FashionMNIST,SimpleCNN,Adaptive-Magnitude,0.2,93.17,,0.16,,20.341,,28.492,,0.771,
FashionMNIST,SimpleCNN,Adaptive-Magnitude,0.3,93.1,,0.09,,31.431,,41.277,,0.744,
FashionMNIST,SimpleCNN,Adaptive-Magnitude,0.4,93.0,,-0.01,,40.622,,53.277,,0.769,
FashionMNIST,SimpleCNN,Adaptive-Magnitude,0.5,93.13,,0.12,,51.493,,63.278,,0.747,
FashionMNIST,SimpleCNN,E-HRAP,0.1,93.34,,0.33,,10.449,,14.57,,0.756,
FashionMNIST,SimpleCNN,E-HRAP,0.2,93.24,,0.23,,20.672,,28.045,,0.691,
FashionMNIST,SimpleCNN,E-HRAP,0.3,93.36,,0.35,,30.978,,40.54,,0.726,
FashionMNIST,SimpleCNN,E-HRAP,0.4,93.04,,0.03,,40.855,,52.807,,0.752,
FashionMNIST,SimpleCNN,E-HRAP,0.5,93.2,,0.19,,49.34,,62.906,,0.688,
FashionMNIST,SimpleCNN,Uniform-Magnitude,0.1,93.25,,0.24,,10.994,,17.49,,0.73,
FashionMNIST,SimpleCNN,Uniform-Magnitude,0.2,93.2,,0.19,,22.179,,34.061,,0.721,
FashionMNIST,SimpleCNN,Uniform-Magnitude,0.3,93.29,,0.28,,32.731,,49.168,,0.773,
FashionMNIST,SimpleCNN,Uniform-Magnitude,0.4,93.1,,0.09,,43.312,,61.981,,0.773,
FashionMNIST,SimpleCNN,Uniform-Magnitude,0.5,92.98,,-0.03,,53.613,,73.329,,0.697,
FashionMNIST,VGG11BN,Adaptive-Correlation,0.1,93.12,,0.36,,18.374,,17.234,,0.888,
FashionMNIST,VGG11BN,Adaptive-Correlation,0.2,93.12,,0.36,,35.05,,33.353,,0.917,
FashionMNIST,VGG11BN,Adaptive-Correlation,0.3,93.04,,0.28,,50.096,,48.086,,0.92,
FashionMNIST,VGG11BN,Adaptive-Correlation,0.4,92.8,,0.04,,62.756,,60.621,,0.853,
FashionMNIST,VGG11BN,Adaptive-Correlation,0.5,92.69,,-0.07,,74.222,,71.897,,0.902,
FashionMNIST,VGG11BN,Adaptive-Magnitude,0.1,93.17,,0.41,,18.47,,17.548,,0.901,
FashionMNIST,VGG11BN,Adaptive-Magnitude,0.2,93.03,,0.27,,35.357,,33.818,,0.888,
FashionMNIST,VGG11BN,Adaptive-Magnitude,0.3,92.93,,0.17,,49.925,,48.128,,0.909,
FashionMNIST,VGG11BN,Adaptive-Magnitude,0.4,92.9,,0.14,,63.007,,60.837,,0.918,
FashionMNIST,VGG11BN,Adaptive-Magnitude,0.5,92.97,,0.21,,74.065,,71.733,,0.903,
